"Parameter","Mean","Median","St.Dev.","95%CI_low","95%CI_upp","Species"
"a",0.00849945280665966,0.00808064208324996,0.00293240434950223,0.00382843033680538,0.0152412764689117,"figginsi"
"b",0.305929579016848,0.305468235058776,0.0404263106453452,0.226764785522276,0.388129943251414,"figginsi"
"betaDENS[1]",0.531955206588271,0.531489994567823,0.080458815771491,0.375808107202646,0.69177352297747,"figginsi"
"betaDENS[2]",2.1980432753542e-05,0,0.0154915672652971,0,0,"figginsi"
"betaFEED[1]",1.31230814198677,1.30496669066906,0.342552038673231,0.683548499669722,2.02596591947895,"figginsi"
"betaFEED[2]",-1.30518060743119,-1.30647465335071,0.136230411425578,-1.57309934670552,-1.02744248807294,"figginsi"
"betaSEX[1]",-0.0109710275271383,0,0.0510251395708678,-0.188153880132402,0,"figginsi"
"betaSEX[2]",0.286674756980792,0.281911163124248,0.0692707390932485,0.164962910626166,0.439496483006929,"figginsi"
"mean.p",0.399318309847482,0.399299462209386,0.00623280557901866,0.387169343158876,0.411565955044549,"figginsi"
"zDENS[1]",1,1,0,1,1,"figginsi"
"zDENS[2]",0.04599,0,0.209463758560331,0,1,"figginsi"
"zFEED[1]",1,1,0,1,1,"figginsi"
"zFEED[2]",1,1,0,1,1,"figginsi"
"zSEX[1]",0.104826666666667,0,0.306330457866534,0,1,"figginsi"
"zSEX[2]",1,1,0,1,1,"figginsi"
"a",0.0302334647530707,0.029920594716964,0.00470971723825313,0.0222541490956947,0.0402075451966658,"inornata"
"b",0.0814695443148544,0.0813094344499011,0.0111686025688605,0.0600278861095147,0.10328206364964,"inornata"
"betaDENS[1]",0.145497525989835,0,0.208927714010416,0,0.618004215948573,"inornata"
"betaDENS[2]",-0.0713232731929427,0,0.114130904146493,-0.332115982236159,0,"inornata"
"betaFEED[1]",-0.00845016405438744,0,0.066381974373878,-0.203736480180507,0.0547085350496307,"inornata"
"betaFEED[2]",0.00206625904018452,0,0.0561005161718732,-0.0941549242683073,0.11702105423655,"inornata"
"betaSEX[1]",-0.339879922554326,-0.372325939693476,0.262725952363248,-0.815776245042274,0,"inornata"
"betaSEX[2]",0.631945643080704,0.638029987760095,0.176679150502726,0.331642394158164,0.975682212082428,"inornata"
"mean.p",0.525520662293202,0.525489221007661,0.00782802533580121,0.510211320644662,0.54089384677457,"inornata"
"zDENS[1]",0.417203333333333,0,0.493097883258449,0,1,"inornata"
"zDENS[2]",0.330953333333333,0,0.470557076844844,0,1,"inornata"
"zFEED[1]",0.113306666666667,0,0.316967823052895,0,1,"inornata"
"zFEED[2]",0.09582,0,0.294344723744209,0,1,"inornata"
"zSEX[1]",0.73104,1,0.443419861760739,0,1,"inornata"
"zSEX[2]",1,1,0,1,1,"inornata"
